Level	Date and Time	Source	Event ID	Task Category
Information	12/21/2022 8:36:06 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	23	None	"Remote Desktop Services: Session logoff succeeded:

User: WZSCN\11004142
Session ID: 1"
Information	12/20/2022 8:01:32 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	22	None	"Remote Desktop Services: Shell start notification received:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	12/20/2022 8:01:30 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	21	None	"Remote Desktop Services: Session logon succeeded:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	12/20/2022 8:01:25 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	42	None	"End session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	12/20/2022 8:01:25 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	41	None	"Begin session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	12/20/2022 8:01:04 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	32	None	Plugin RDSAppXPlugin has been successfully initialized
Information	12/20/2022 7:59:29 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	54	None	Local multi-user session manager received system shutdown message
Information	12/20/2022 7:59:29 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	23	None	"Remote Desktop Services: Session logoff succeeded:

User: WZSCN\11004142
Session ID: 1"
Information	12/10/2022 4:29:50 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	22	None	"Remote Desktop Services: Shell start notification received:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	12/10/2022 4:29:50 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	21	None	"Remote Desktop Services: Session logon succeeded:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	12/10/2022 4:29:46 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	42	None	"End session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	12/10/2022 4:29:46 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	41	None	"Begin session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	12/10/2022 4:29:18 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	32	None	Plugin RDSAppXPlugin has been successfully initialized
Information	12/9/2022 10:53:26 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	54	None	Local multi-user session manager received system shutdown message
Information	12/9/2022 10:53:26 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	23	None	"Remote Desktop Services: Session logoff succeeded:

User: WZSCN\11004142
Session ID: 1"
